08.00;09.30;0;09.45;11.15;0;11.30;13.00;0;13.30;15.00;0;15.15;16.45;0;17.00;18.30;0;18.45;20.00;0;20.15;22.00;0
08.15;09.45;0;10.00;11.30;0;11.45;13.15;0;13.30;15.00;0;15.15;16.45;0;17.00;18.30;0;18.45;20.15;0;20.30;22.00;0
08.30;10.00;0;10.15;11.45;0;12.00;13.30;0;14.00;15.30;0;15.45;17.15;0;17.30;19.00;0;19.15;20.45;0;21.00;22.00;0
08.00;09.30;0;09.45;11.15;0;11.30;13.00;0;13.20;14.50;0;15.05;16.35;0;16.50;18.20;0;18.35;20.05;0;20.20;22.00;0
08.25;09.55;0;10.10;11.40;0;11.55;13.25;0;13.40;15.10;0;15.25;16.55;0;17.10;18.40;0;18.55;20.25;0;20.40;22.00;0
08.05;09.35;0;09.50;11.20;0;11.35;13.05;0;13.25;14.55;0;15.10;16.40;0;16.55;18.25;0;18.40;20.10;0;20.25;22.00;0
08.10;09.40;0;09.55;11.25;0;11.40;13.10;0;13.30;15.00;0;15.15;16.45;0;17.00;18.30;0;18.45;20.15;0;20.30;22.00;0
08.35;10.05;0;10.20;11.50;0;12.05;13.35;0;13.55;15.25;0;15.40;17.10;0;17.25;18.55;0;19.10;20.40;0;20.55;22.00;0
08.45;10.15;0;10.30;12.00;0;12.15;13.45;0;14.05;15.35;0;15.50;17.20;0;17.35;19.05;0;19.20;20.50;0;21.05;22.00;0
08.50;10.20;0;10.35;12.05;0;12.20;13.50;0;14.10;15.40;0;15.55;17.25;0;17.40;19.10;0;19.25;20.55;0;21.10;22.00;0
